daily_return,moving_average_50,moving_average_200,volatility,portfolio_performance,correlation_with_market,correlation_with_sector,news_sentiment_score,positive_news_count,negative_news_count
0.084,74.6,54.23,91.02,-66.04,-0.8442,0.1541,0.43,60,11
-0.4052,61.69,3.97,18.72,-97.17,-0.1419,-0.9511,0.05,19,89
-0.6348,58.5,62.85,24.3,-42.69,0.2112,0.5726,0.46,76,35
-0.8959,66,7.32,72.05,35.78,-0.8398,0.1945,0.62,46,84
-0.8459,46.35,66.34,78.71,-27.31,-0.3451,-0.6767,0.93,10,53
0.1239,96.42,55.1,3.29,10.45,-0.7038,-0.8401,0.08,31,30
-0.6692,33.01,59.88,29.51,-58.13,0.0949,-0.9439,0.68,34,0
-0.6145,61.5,56.95,68.74,-46.34,-0.9725,0.569,0.33,41,55
0.8629,66.82,18.66,30.27,-12.25,0.3565,0.3683,0.53,6,15
-0.8853,81.2,53.03,66.51,20.24,-0.4953,0.3206,0.74,5,41
0.2444,42.68,72.2,42.89,10.27,0.6074,0.1124,0.76,75,17
0.3966,40.54,99.96,68.68,-22.12,0.3046,-0.0306,0.25,38,33
0.3661,71.73,60.01,28.42,-43.36,0.7732,0.9775,0.72,38,1
0.8875,63.13,57.61,22.89,50.39,-0.2522,0.3168,0.34,98,47
-0.3147,72.61,45.1,19.27,-17.96,0.561,0.7315,0.3,81,22
0.1526,39.66,54.32,12.05,92.51,-0.9477,0.3932,0.22,55,90
-0.5113,4.64,58.24,95,-20.94,0.6115,-0.7738,1,82,77
-0.4258,57.93,90.06,46.77,57.11,0.3184,0.7844,0.94,59,22
0.3533,0.81,5.35,6.86,90.33,-0.2833,-0.2777,0.97,29,84
-0.7215,1.99,13.22,69.9,61.93,-0.3015,-0.7822,0.77,90,24
-0.9967,12.88,3.09,59.11,-31.49,-0.9893,-0.741,0.74,26,46
0.8115,99.75,2.02,38.89,87.24,-0.2994,-0.6073,0.48,33,8
-0.3361,38.94,82.88,81.21,54.84,-0.5496,0.6373,0.4,80,92
-0.6735,51.31,15.29,75.94,-45.32,0.6468,-0.8292,0.13,79,39
-0.8059,50.37,4.23,77.9,-92.44,-0.2576,0.1613,0.85,41,89
-0.6302,80.08,63.94,5.02,-64.21,0.8045,0.8515,0.66,5,68
0.2543,15.57,53.77,81.45,-49.07,-0.1974,-0.6782,0.32,32,81
0.4629,68.65,54.91,32.25,-69.47,-0.8367,0.7659,0.54,77,85
0.3448,98.88,77.77,92.36,1.38,0.4733,0.2972,0.73,70,12
0.6969,30,23.12,72.25,10.06,0.52,-0.6889,0.86,35,63
0.6213,80.79,50.01,93.77,-1.51,-0.2931,0.4592,0.5,88,84
0.1227,33.29,66.23,83.21,32.64,0.1,-0.1664,0.68,98,84
-0.6479,24.64,90.59,81.82,-0.85,-0.2123,-0.0853,0.42,11,38
-0.5184,65.8,84.38,33.46,-25.35,0.5241,-0.1408,0.64,64,85
0.4112,66.39,36.52,10.44,99.39,0.3065,-0.1395,0.94,98,63
0.7696,24.51,28.69,61.48,26.47,0.2304,0.7889,0.82,83,98
-0.7355,53.2,58.05,82.97,-44.37,-0.7656,-0.1507,0.58,23,54
0.7178,95.05,4.85,4.77,22.1,-0.6089,-0.5981,0.96,35,39
-0.0049,49.9,46.78,0.46,-16.43,-0.5533,-0.0313,0.47,88,50
-0.7999,0.77,96.27,11.51,-33.8,-0.4605,0.1009,0.61,11,0
-0.93,99.72,3.82,11.59,-3.48,-0.4183,0.9269,0.83,71,19
0.3288,6.61,79.09,40.88,-78.19,-0.2037,-0.8031,0.63,3,60
0.1962,63.42,59.54,1.63,59.02,-0.585,-0.7177,0.56,73,57
0.5751,43.95,16.19,67.25,-54.22,-0.3643,0.968,0.02,29,50
-0.138,12.67,3.82,77.5,16.76,0.6252,-0.3843,0.04,2,85
-0.8731,30.62,22.31,97.76,-44.63,-0.0031,-0.5382,0.28,57,88
-0.9127,0.31,47.4,27.25,-67.46,-0.4967,0.3286,0.54,93,14
0.3375,2.46,76.12,54.73,-33.03,0.9025,0.286,0.27,58,31
0.4655,16.09,12.97,50.08,76.61,0.0869,-0.7986,0.05,36,92
0.4648,3.09,93.09,74.08,-8.48,-0.335,0.712,0.44,63,49
-0.1949,92.12,72.72,62.99,-21.3,0.915,0.1264,0.9,33,80
0.1135,14.13,76.88,93.09,-97.69,0.9966,0.8779,0.32,65,46
-0.135,5.6,92.17,14.24,47.06,0.6224,0.3083,0.2,54,20
0.8375,53.35,48.82,79.59,-60.76,-0.6251,0.1846,0.72,66,60
-0.0409,46.27,34.28,88.99,66.37,0.423,0.3397,0.81,86,70
0.3943,95.99,83.45,92.13,64.08,0.0832,-0.6868,0.06,60,42
0.6733,84.96,21.7,93.57,39.71,-0.8702,-0.3115,0.1,8,95
-0.8673,32.91,35.63,87.28,14.57,-0.3232,0.0507,0.68,61,18
-0.1477,25.7,2.39,89.34,74.73,-0.5179,0.0236,0.44,35,49
0.5862,72.4,18.42,87.37,-8.24,0.3843,-0.0137,0.78,6,7
0.3418,27.26,33.8,62.25,46.02,-0.6799,-0.4007,0.92,36,58
-0.632,84.95,14.45,98.3,55.83,0.2337,0.7885,0.09,73,46
0.0995,34.42,21.06,99.57,-46.33,-0.4417,-0.4037,0.41,64,58
0.2552,28.62,85.95,64.95,49.3,-0.3532,-0.0836,0.34,69,67
-0.8396,49.63,40.22,8.46,57.03,0.4867,0.2138,0.13,93,33
0.1041,30.23,3.7,96.47,-44.75,-0.035,-0.5733,0.91,28,1
0.7048,36.08,72.33,68.16,31.76,-0.3368,0.3085,0.62,73,27
0.8535,55.47,97.97,90.5,-53.1,0.4397,-0.809,0.36,41,84
-0.0441,91.43,14.11,30.78,94.62,-0.8043,-0.3152,0.5,85,51
0.0628,26.33,61.94,51.19,84.36,0.2313,-0.7733,0.23,61,54
0.0279,89.73,32.61,52.03,-27.62,0.5429,-0.3281,0.81,86,54
-0.842,43.96,81.69,41.78,31,0.8503,-0.4455,0.84,32,4
-0.151,21.85,23.97,28.01,25.36,-0.9996,-0.9453,0.06,47,82
0.1405,9.56,2.42,83.7,-64.06,0.3735,0.9198,0.34,28,34
0.0076,47.36,31.39,11.54,20.51,0.2757,0.0094,0.02,3,27
-0.5151,10.43,79.97,77.8,-55.35,0.9078,0.504,0.29,82,62
0.5072,96.82,72.13,43.23,70.95,-0.978,-0.6216,0.07,22,50
-0.4291,28.39,43.39,92.04,34.79,-0.1388,-0.2756,0.29,76,9
0.076,80.54,82.92,21.9,9.04,0.4762,0.4671,0.9,73,54
0.3355,65.12,98.91,31.22,-37.01,0.8473,-0.2136,0.2,91,29
0.2387,73.41,68.42,65.83,-61.73,-0.4406,0.6878,0.85,19,99
-0.9573,74.93,22.73,69.46,41.15,-0.13,-0.7235,0.49,81,85
-0.223,44.08,89.06,72.49,86.45,-0.613,-0.0033,0.93,90,10
-0.3992,96.66,92.91,53.33,-60.42,0.3702,-0.0978,0.31,63,60
0.4794,89.24,53.93,18.67,-45.56,0.7738,0.3384,1,83,77
-0.2403,47.69,84.42,94.98,-54.46,0.4546,-0.4446,0.33,66,35
-0.2059,4.83,21.34,42.36,-0.4,-0.9668,0.2201,0.69,78,15
0.8736,95.82,12.52,62.82,43.22,-0.5963,0.7168,0.48,38,97
0.3167,24.56,13.2,99.63,21.76,-0.9622,0.9054,0.73,42,84
-0.7783,34.65,5.77,46.98,-43.95,-0.4059,-0.9938,0.86,81,66
-0.6173,77.83,51.75,76.66,92.97,0.3122,-0.675,0.89,61,61
0.6266,46.37,97.83,54.78,11.37,-0.5658,0.6023,0.34,35,14
0.6605,11.41,68.94,98.43,-47.22,-0.1783,0.2297,0.36,82,6
-0.4629,79.33,27.17,90.34,74.54,-0.8437,-0.4303,0.46,92,21
-0.4349,98.75,1.91,57.47,8.17,0.2585,0.0499,0.67,97,39
0.3328,52.44,36.65,61.18,-87.28,-0.3277,0.703,0.51,43,80
-0.4458,81.11,2.72,73.36,-93.52,-0.4447,-0.7899,0.17,70,14
0.1344,54.92,55.17,26.84,3.47,0.7766,0.912,0.31,82,60
-0.7927,63.37,6.46,49.62,86.47,-0.3502,-0.5756,0.22,0,41
0.6753,29.18,71.84,82.84,-28.11,0.8072,0.042,0.07,65,38
-0.2602,17.03,2.84,39.65,71.71,0.2165,0.3276,0.32,53,10
-0.004,75.08,85.06,93.3,-25.89,0.515,-0.4224,0.02,25,60
0.8413,92.44,31.74,37.75,89.96,-0.821,0.5227,0.35,83,74
0.0113,63.67,36.49,72.73,13.72,-0.3447,0.4009,0.95,34,21
0.3535,71.92,72.56,28.94,69.69,-0.2341,-0.2037,0.52,97,51
0.9446,51.16,53.54,75.45,83.25,0.9113,-0.8229,0.22,77,25
0.928,77.35,88.17,60.15,43.91,0.0518,-0.6297,0.62,71,35
-0.7922,0.8,38.18,27.69,-76.5,0.1599,-0.5497,0.08,68,9
0.8824,17.7,23.61,52.35,-96.44,-0.7868,0.5436,0.79,67,92
-0.6046,22.73,22.32,54.64,21.08,-0.3353,-0.8561,0.41,1,51
0.3096,31.95,67.88,84.1,-50.23,0.247,-0.5629,0.22,96,39
0.7422,96.09,74.72,20.93,57.51,-0.3901,0.3571,0.53,30,63
-0.2947,53.77,3.06,36.63,33.78,0.0362,-0.3931,0.83,65,1
0.3813,57.04,76.68,73.34,69.69,0.1144,-0.0437,0.83,51,89
0.1536,99.21,49.97,77.82,9.27,0.6889,0.3074,0.35,72,91
-0.8298,6.62,47.23,18.05,30.87,-0.0459,-0.212,0.65,64,60
-0.4986,1.8,63.5,44.12,55.48,0.2269,-0.7926,0.34,55,42
-0.7477,12.5,43.76,28.76,66.25,-0.364,0.0766,0.23,56,5
0.622,39.52,97.7,92.24,-82.13,-0.8684,0.4442,0.21,47,81
0.3886,55.84,93.06,26.97,-64.18,-0.9079,-0.3797,0.25,2,14
0.437,94.74,9.36,45.29,22.92,0.3448,-0.6591,0.57,60,50
0.5287,66.15,59.28,23.98,3.61,-0.0511,-0.6002,0.79,55,16
-0.1152,53.54,42.75,99.67,-66.69,0.2448,-0.871,0.07,60,35
-0.1892,65.01,44.66,83.01,-11.88,0.3907,0.4369,0.21,49,43
-0.6702,25.7,14.14,18.19,66.96,0.3446,-0.1855,0.13,76,3
0.969,42.27,93.49,61.98,17.11,-0.0392,-0.646,0.53,97,55
-0.1582,1.59,75.21,58.07,85.78,0.3005,-0.9661,0.15,36,55
-0.5919,41.11,61.36,92.71,-24.77,0.4554,0.9291,0.93,95,61
-0.7967,55.07,27.11,78.93,15.45,0.0525,-0.7333,0.66,13,18
0.1854,29.18,33.05,94.01,-43.46,0.1145,0.4497,0.58,89,86
0.8611,82.82,23.78,67.23,66.57,-0.5264,-0.359,0.4,24,65
-0.5389,59.25,39.49,45.8,3.54,0.7764,0.9165,0.12,46,96
-0.7632,70.54,60,35.47,47.97,-0.5271,0.251,0.8,45,27
0.0618,34.2,82.19,38.43,-13.78,-0.4356,0.0259,0.39,0,88
-0.6303,75.56,30.82,81.33,23.96,0.6188,0.4891,0.88,44,15
0.5179,96.23,54.93,92.73,-26.97,-0.7568,-0.9099,0.83,33,78
0.0714,43.54,62.29,92.04,-33.49,0.2599,-0.402,0.72,83,75
-0.9862,34.92,94.27,19.79,73.73,-0.2972,-0.5708,0.88,2,1
-0.6547,52.76,87.72,15.2,91.92,0.7784,-0.7928,0.63,82,17
0.4157,95.41,25.26,32.47,32.9,-0.9633,-0.9273,0.8,31,72
0.9464,73.9,99.63,21.94,86.05,0.2489,-0.0596,0.23,57,7
-0.5737,10.48,33.95,9.88,73.73,0.3728,-0.5073,0.1,20,40
0.8187,91.51,30.06,12.45,-36.18,0.5977,0.7509,0.21,95,77
0.5119,66.97,20.65,94.2,63.43,0.5553,-0.6786,0.74,28,66
-0.0874,87.84,77.39,23.11,-44.85,0.286,0.1198,0.36,71,90
-0.4547,60.61,26.36,99.8,32.51,-0.9457,-0.1512,0.28,10,98
-0.3706,52.74,89.83,13.56,73.99,-0.6056,0.6796,0.61,83,89
0.8774,40.51,76.86,95.24,-31.52,-0.0213,0.5703,0.62,57,87
-0.3334,37.71,26.39,8.55,-55.34,-0.3616,0.9343,0.35,12,33
0.9975,98.75,6.32,62.39,-11.44,0.6043,0.9094,0.46,55,12
-0.179,56.15,84.91,95.87,-79.67,-0.2037,0.5344,0.16,78,94
0.7571,9.19,58.53,42.82,53.35,-0.024,0.6423,0.02,65,89
-0.2013,3.03,27.08,40.16,-99.39,0.8419,0.5448,0.72,13,70
0.9625,90.45,66.42,36.43,-94.02,-0.3311,0.5587,0.71,59,37
-0.3492,14.88,18.95,77.62,54.92,-0.6289,0.0317,0.14,85,15
0.0999,80.17,34.78,80.03,-18.65,0.7782,0.9671,0.48,68,31
-0.8765,39.36,82.97,2.13,15.59,0.0568,-0.0082,0.27,46,73
-0.1258,82.03,48.36,76.92,-89.52,0.8699,0.3282,0.16,59,55
0.2706,47.16,5.97,41.84,-6.77,0.9433,-0.9361,0.39,14,93
